path,fr_score,fr_tokens_found,word_count,h1_text,h1_has_fr
en/a-propos.html,0,,2141,THE OBSESSION WITH PERFORMANCE.,False
en/avis.html,0,,698,Our Clients Speak,False
en/blog-article.html,0,,144,Loading...,False
en/blog.html,0,,774,THE BLOG PIRABEL LABS.,False
en/candidature.html,0,,59,${escapeHtml(job.title)},False
en/carrieres.html,0,,1025,Join Pirabel Labs,False
en/case-study.html,0,,156,,False
en/contact.html,0,,1578,LET'S TALK ABOUT YOUR FUTURE.,False
en/faq.html,0,,1384,FREQUENTLY ASKED.,False
en/gerer-rendez-vous.html,0,,63,,False
en/index.html,0,,2679,THE DIGITAL AGENCY THAT PROPELS YOUR GROWTH.,False
en/mentions-legales.html,0,,276,LEGAL NOTICE,False
en/modifier-devis.html,0,,52,Adjust our proposal,False
en/politique-confidentialite.html,0,,369,PRIVACY POLICY,False
en/rendez-vous.html,0,,101,Book your appointment,False
en/resultats.html,0,,516,CASE STUDIES.,False
en/services.html,0,,2028,EVERYTHING YOU NEED TO DOMINATE.,False
en/agence-creation-sites-web/abidjan.html,2,coût|créer,653,A WEBSITE THAT CONVERTS in Abidjan.,False
en/agence-creation-sites-web/abomey-calavi.html,4,aïbatin|coût|créer|tankpè,1274,A WEBSITE THAT CONVERTS in Abomey-Calavi.,False
en/agence-creation-sites-web/bruxelles.html,2,coût|créer,649,A WEBSITE THAT CONVERTS in Brussels.,False
en/agence-creation-sites-web/casablanca.html,2,coût|créer,659,A WEBSITE THAT CONVERTS in Casablanca.,False
en/agence-creation-sites-web/cotonou.html,2,coût|créer,657,A WEBSITE THAT CONVERTS in Cotonou.,False
en/agence-creation-sites-web/dakar.html,2,coût|créer,657,A WEBSITE THAT CONVERTS in Dakar.,False
en/agence-creation-sites-web/developpement-sur-mesure.html,2,coût|créer,1592,"WHEN CMS SOLUTIONS ARE NOT ENOUGH, WE CODE YOUR SOLUTION.",False
en/agence-creation-sites-web/figma-ui-design.html,2,coût|créer,1733,"INTERFACES THAT CONVERT, NOT JUST DECORATE.",False
en/agence-creation-sites-web/index.html,2,coût|créer,2419,A SITE THAT CONVERTS YOUR VISITORS INTO CLIENTS.,False
en/agence-creation-sites-web/lyon.html,2,coût|créer,655,A WEBSITE THAT CONVERTS in Lyon.,False
en/agence-creation-sites-web/marseille.html,2,coût|créer,651,A WEBSITE THAT CONVERTS in Marseille.,False
en/agence-creation-sites-web/montreal.html,2,coût|créer,647,A WEBSITE THAT CONVERTS in Montreal.,False
en/agence-creation-sites-web/parakou.html,0,,275,WEBSITE CREATION IN Parakou.,False
en/agence-creation-sites-web/paris.html,2,coût|créer,653,A WEBSITE THAT CONVERTS in Paris.,False
en/agence-creation-sites-web/porto-novo.html,1,ouémé,261,WEBSITE CREATION IN Porto-Novo.,False
en/agence-creation-sites-web/shopify.html,2,coût|créer,1548,A SHOPIFY STORE THAT SELLS. NOT JUST EXISTS.,False
en/agence-creation-sites-web/tunis.html,2,coût|créer,655,A WEBSITE THAT CONVERTS in Tunis.,False
en/agence-creation-sites-web/webflow.html,2,coût|créer,1576,"YOUR WEBFLOW SITE PIXEL-PERFECT, DELIVERED IN 3 WEEKS.",False
en/agence-creation-sites-web/wordpress.html,2,coût|créer,1612,CUSTOM WORDPRESS. NO TEMPLATES. NO COMPROMISE.,False
